MAIN_CATEGORY,SUB_CATEGORY,Ground Level Name,Actual,PM Actual,PM Variance,PM Variance%,PY Actual,PY Variance,PY Variance%
Total Assets,Current assets,Staff cost (allocated),242155343.7,241129399.3,1025944,0%,230914334.1,11241009.66,4.90%
Total Assets,Current assets,Technical Consult.,57787989.89,57744050.24,43940,0%,52897794.02,4890195.87,9.20%
Total Assets,Current assets,TIE JUN International (HK) Ltd.,13853327.27,13853327.27,0,0%,14877930.8,-1024603.53,-6.90%
Total Assets,Current assets,VAM AC-JPM-LU050670004000014814-API Riyadh-Capital Rec/Pmt,381337702.6,351156641.7,30181061,9%,318152585.5,63185117.11,19.90%
Total Assets,Current assets,VAM AC-JPM-LU140670004000014846--Capital Rec/Pmt,169941816,169941816,0,0%,163119553.9,6822262.12,4.20%
Total Assets,Current assets,VAM AC-JPM-LU160670004000054386-APGS-3rd Party Fee-reimb,41429667.98,41429667.98,0,0%,37795793.16,3633874.83,9.60%
Total Assets,Current assets,VAM AC-JPM-LU210670004000054393-JIZ1-APJE Capital Receipts-Payments,91301487.88,91301487.88,0,0%,54551471.05,36750016.83,67.40%
Total Assets,Current assets,VAM AC-JPM-LU220670004000014993-AP Conventional E Ltd-Capital Rec/Pmt,74782493.85,74782493.85,0,0%,57726838.55,17055655.3,29.50%
Total Assets,Current assets,VAM AC-JPM-LU230670004000014781-APGS Rep-IC -Reciept/Payment,0,0,0,,1077769.57,-1077769.57,-100.00%
Total Assets,Current assets,VAM AC-JPM-LU290670004000014964-OASIS 2-IC -Reciept/Payment,1561623.56,1561623.56,0,0%,142214041.6,-140652418,-98.90%
Total Assets,Current assets,VAM AC-JPM-LU380670004000014802-API Dubai-Capital Rec/Pmt,87911430.28,87911430.28,0,0%,,87911430.28,
Total Assets,Current assets,VAM AC-JPM-LU440670004000014791-APBH WLL-Capital Rec/Pmt,12490780.68,12490780.68,0,0%,7012422.87,5478357.81,78.10%
Total Assets,Current assets,VAM AC-JPM-LU480670004000014816-API Riyadh-3rd Party Fee-reimb,109374717.5,109374717.5,0,0%,22613065.05,86761652.47,383.70%
Total Assets,Current assets,VAM AC-JPM-LU510670004000014956-APCPPMA-Capital Rec/Pmt,148725320.9,148725320.9,0,0%,100784120.3,47941200.63,47.60%
Total Assets,Current assets,VAM AC-JPM-LU570670004000015139-Capital receipts-payments A/C,8606298.62,2995885.7,5610413,187%,,8606298.62,
Total Assets,Current assets,VAM AC-JPM-LU590670004000054388-APGS-IC -Reciept/Payment,0,0,0,,84647574.12,-84647574.12,-100.00%
Total Assets,Current assets,VAM AC-JPM-LU640670004000015110-AP Taweelah -Reciept/Payment,12567324.96,12567324.96,0,0%,,12567324.96,
Total Assets,Current assets,VAM AC-JPM-LU770670004000014973-APP-IC -Reciept/Payment,38131450.31,38131450.31,0,0%,,38131450.31,
Total Assets,Current assets,VAM AC-JPM-LU800670004000015113-AP Green EH Ltd-Capital Rec/Pmt,46534245.33,46504162.85,30082,0%,1200417.11,45333828.22,3776.50%
Total Assets,Current assets,VAM AC-JPM-LU830670004000014768-KAHROMAA-Capital Rec/Pmt,6620287.25,6620287.25,0,0%,,6620287.25,
Total Assets,Current assets,VAM AC-JPM-LU860670004000054387-APGS-Capital Rec/Pmt,0,0,0,,2437014.85,-2437014.85,-100.00%
Total Assets,Current assets,VAM AC-JPM-LU870670004000101218-APEC-Third Party Receipt Fees-Reimb,353088052.3,353025707.9,62344,0%,193065460.5,160022591.8,82.90%
Total Assets,Current assets,VAM AC-JPM-LU870670004000101220-APEC-Capital Receipts-Payments,62545713.64,62545713.64,0,0%,58955049.37,3590664.27,6.10%
Total Assets,Current assets,VAM AC-JPM-LU980670004000014983-APSEWD Company-IC -Reciept/Payment,44626735.02,67045945.07,-22419210,-33%,336919498.7,-292292763.7,-86.80%
Total Assets,Current assets,"Water and Environmental Technologies Co., Ltd.",0,0,0,,12903949.73,-12903949.73,-100.00%
Total Assets,Current assets,Write off,33353210.69,33353210.69,0,0%,33353595.89,-385.2,0.00%
Total Assets,Non current assets,Advances against investment,4241472836,4224439892,17032943,0%,3974536426,266936409.5,6.70%
Total Assets,Non current assets,Cost of investment,2650597813,2650612774,-14961,0%,2767901783,-117303970.6,-4.20%
Total Assets,Non current assets,Fixed Asset Default Account,49484702.78,49323903.26,160800,0%,46425266.15,3059436.63,6.60%
Total Assets,Non current assets,FV of interest rate swaps [IRS] (Asset - NC),4025194.2,4025194.2,0,0%,115722561.6,-111697367.4,-96.50%
Total Assets,Non current assets,Hassyan Derivative adjustment,18011785.93,18011785.93,0,0%,18011785.93,0,0.00%
Total Assets,Non current assets,LNTP,25741976.05,55876625.96,-30134650,-54%,,25741976.05,
Total Assets,Non current assets,Other,6545235957,6484449150,60786807,1%,5931369964,613865993.6,10.30%
Total Assets,Non current assets,Office Interior and fittings,0,0,0,,1501863.05,-1501863.05,-100.00%
Total Assets,Non current assets,Professional Service,9130039.56,9130039.56,0,0%,9098857.38,31182.18,0.30%
Total Assets,Non current assets,Staff and staff related costs,2319365.42,2293487.48,25878,1%,,2319365.42,
Total Assets,Non current assets,Technical Building,13018067.37,12273128.9,744938,6%,,13018067.37,
Equity,Hedge reserves,Other,9263615.5,9263615.5,0,0%,,9263615.5,
Equity,Shareholders funds,Other,35308198.68,35308198.68,0,0%,,35308198.68,
Equity,Shareholders funds,Share issue cost,8582384.27,8582384.27,0,0%,8582384.27,0,0.00%
Total Liabilities,Current liabilities,Accrual (C) - Bonus,40302590.88,40302590.88,0,0%,39096746.17,1205844.71,3.10%
Total Liabilities,Current liabilities,Accrual (C) - Leave Payment,27231918.44,27101274.5,130644,0%,7405776.27,19826142.18,267.70%
Total Liabilities,Current liabilities,Accrual (C) - Social Insurance,12390928.52,11797413.29,593515,5%,5612679.39,6778249.14,120.80%
Total Liabilities,Current liabilities,Other,117866117.7,120510722.7,-2644605,-2%,,117866117.7,
Total Liabilities,Non current liabilities,Actuarial Adjustment EOS,0,0,0,,1270440.44,-1270440.44,-100.00%
Total Liabilities,Non current liabilities,Deferred finance cost - SUKUK,1753989.17,1794748.02,-40759,-2%,2236251.66,-482262.5,-21.60%
Total Liabilities,Non current liabilities,Deferred finance cost - SUKUK - 2,1615335.87,1641003.29,-25667,-2%,1928478.3,-313142.42,-16.20%
Total Liabilities,Non current liabilities,Discount on Other Payables (NC),29318362.54,30172424.96,-854062,-3%,39530766.95,-10212404.41,-25.80%
Total Liabilities,Non current liabilities,ENBD,0,0,0,,955887.33,-955887.33,-100.00%
Total Liabilities,Non current liabilities,FV of interest rate swaps [IRS] (Liability - NC),2194846.27,2034542.19,160304,8%,3948925.04,-1754078.77,-44.40%
Total Liabilities,Non current liabilities,NATIXIS,5598924.79,5768589.17,-169664,-3%,7634897.43,-2035972.64,-26.70%
Total Liabilities,Non current liabilities,Other,10637130.99,10328693.38,308438,3%,6838754.24,3798376.74,55.50%
Total Liabilities,Non current liabilities,SNB,0,0,0,,1166103.41,-1166103.41,-100.00%
