MAIN_CATEGORY,SUB_CATEGORY,Ground Level Name,Actual,PM Actual,PM Variance,PM Variance%,PY Actual,PY Variance,PY Variance%
Total Assets,Current assets,Prepaid (C) - Upfront Fee,2502244.21,2502244.21,0,0%,2307126.48,195117.73,8.50%
Total Assets,Current assets,Prepaid (C) – VAT Offshore,3301458.79,3301458.79,0,0%,1650729.4,1650729.4,100.00%
Total Assets,Current assets,Recovery of Costs,7605071.99,7605071.99,0,0%,3802535.99,3802535.99,100.00%
Total Assets,Current assets,SEPCO III Electric Power Construction,7139433.92,7139433.92,0,0%,3569716.96,3569716.96,100.00%
Total Assets,Current assets,SEPCOIII ELECTRIC POWER CONSTRUCTION CO. LTD (DMCC BRANCH),11364412.09,11364412.09,0,0%,15517595.45,-4153183.36,-26.80%
Total Assets,Current assets,Shanghai Electric HongKong Company Ltd,16891920.98,16891920.98,0,0%,8445960.49,8445960.49,100.00%
Total Assets,Current assets,Staff cost (allocated),484758241,484758241,0,0%,230972986,253785255.1,109.90%
Total Assets,Current assets,Technical Consult.,118979502,118979502,0,0%,54136201.61,64843300.38,119.80%
Total Assets,Current assets,TIE JUN International (HK) Ltd.,22560035.76,22560035.76,0,0%,14877930.8,7682104.95,51.60%
Total Assets,Current assets,VAM AC-JPM-LU050670004000014814-API Riyadh-Capital Rec/Pmt,815240744.1,815240744.1,0,0%,328143238.4,487097505.7,148.40%
Total Assets,Current assets,VAM AC-JPM-LU140670004000014846--Capital Rec/Pmt,339883632,339883632,0,0%,167170272,172713360,103.30%
Total Assets,Current assets,VAM AC-JPM-LU160670004000054386-APGS-3rd Party Fee-reimb,82859335.97,82859335.97,0,0%,41429667.98,41429667.98,100.00%
Total Assets,Current assets,VAM AC-JPM-LU210670004000054393-JIZ1-APJE Capital Receipts-Payments,207186600.1,207186600.1,0,0%,54418946.36,152767653.7,280.70%
Total Assets,Current assets,VAM AC-JPM-LU220670004000014993-AP Conventional E Ltd-Capital Rec/Pmt,149564987.7,149564987.7,0,0%,74782493.85,74782493.85,100.00%
Total Assets,Current assets,VAM AC-JPM-LU380670004000014802-API Dubai-Capital Rec/Pmt,175822860.6,175822860.6,0,0%,87911430.28,87911430.28,100.00%
Total Assets,Current assets,VAM AC-JPM-LU440670004000014791-APBH WLL-Capital Rec/Pmt,24981561.36,24981561.36,0,0%,12490780.68,12490780.68,100.00%
Total Assets,Current assets,VAM AC-JPM-LU480670004000014816-API Riyadh-3rd Party Fee-reimb,225442997.9,225442997.9,0,0%,41167240.97,184275756.9,447.60%
Total Assets,Current assets,VAM AC-JPM-LU510670004000014956-APCPPMA-Capital Rec/Pmt,329731788.6,329731788.6,0,0%,100392362,229339426.6,228.40%
Total Assets,Current assets,VAM AC-JPM-LU570670004000015139-Capital receipts-payments A/C,17212597.25,17212597.25,0,0%,2995885.7,14216711.55,474.50%
Total Assets,Current assets,VAM AC-JPM-LU590670004000054388-APGS-IC -Reciept/Payment,53404341.92,53404341.92,0,0%,31288270.66,22116071.25,70.70%
Total Assets,Current assets,VAM AC-JPM-LU640670004000015110-AP Taweelah -Reciept/Payment,25134649.91,25134649.91,0,0%,12567324.96,12567324.96,100.00%
Total Assets,Current assets,VAM AC-JPM-LU660670000043993652-AICO Ltd-IC -Reciept/Payment,17953321.36,17953321.36,0,0%,,17953321.36,
Total Assets,Current assets,VAM AC-JPM-LU770670004000014973-APP-IC -Reciept/Payment,3173131.1,3173131.1,0,0%,3033132.32,139998.77,4.60%
Total Assets,Current assets,VAM AC-JPM-LU800670004000015113-AP Green EH Ltd-Capital Rec/Pmt,93582065.82,93582065.82,0,0%,41715904.74,51866161.09,124.30%
Total Assets,Current assets,VAM AC-JPM-LU830670004000014768-KAHROMAA-Capital Rec/Pmt,13240574.51,13240574.51,0,0%,6620287.25,6620287.25,100.00%
Total Assets,Current assets,VAM AC-JPM-LU870670004000101218-APEC-Third Party Receipt Fees-Reimb,706256053.9,706256053.9,0,0%,193158300.3,513097753.6,265.60%
Total Assets,Current assets,VAM AC-JPM-LU870670004000101220-APEC-Capital Receipts-Payments,125091427.3,125091427.3,0,0%,62545713.64,62545713.64,100.00%
Total Assets,Current assets,"Water and Environmental Technologies Co., Ltd.",0,0,0,,3871184.92,-3871184.92,-100.00%
Total Assets,Current assets,Write off,66706421.39,66706421.39,0,0%,33353595.89,33352825.5,100.00%
Total Assets,Non current assets,Advances against investment,9251636439,9251636439,0,0%,4166787825,5084848614,122.00%
Total Assets,Non current assets,Cost of investment,5301195625,5301195625,0,0%,2768948253,2532247373,91.50%
Total Assets,Non current assets,Fixed Asset Default Account,102135173.7,102135173.7,0,0%,46447848.44,55687325.28,119.90%
Total Assets,Non current assets,FV of interest rate swaps [IRS] (Asset - NC),44247565.53,44247565.53,0,0%,30886948.23,13360617.3,43.30%
Total Assets,Non current assets,Hassyan Derivative adjustment,36023571.86,36023571.86,0,0%,18011785.93,18011785.93,100.00%
Total Assets,Non current assets,LNTP,485483903,485483903,0,0%,11265709.16,474218193.9,4209.40%
Total Assets,Non current assets,Other,13284137857,13284137857,0,0%,5880873531,7403264326,125.90%
Total Assets,Non current assets,Office Interior and fittings,0,0,0,,1738887.91,-1738887.91,-100.00%
Total Assets,Non current assets,Professional Service,18260079.12,18260079.12,0,0%,9130039.93,9130039.19,100.00%
Total Assets,Non current assets,Staff and staff related costs,5219282.34,5219282.34,0,0%,1174135.94,4045146.4,344.50%
Total Assets,Non current assets,Technical Building,27258017.25,27258017.25,0,0%,,27258017.25,
Equity,Hedge reserves,Other,12897212.26,12897212.26,0,0%,17285738.12,-4388525.86,-25.40%
Equity,Shareholders funds,Other,70616397.37,70616397.37,0,0%,,70616397.37,
Equity,Shareholders funds,Share issue cost,17164768.53,17164768.53,0,0%,8582384.27,8582384.27,100.00%
Total Liabilities,Current liabilities,Accrual (C) - Bonus,80570407.97,80570407.97,0,0%,39128680.34,41441727.63,105.90%
Total Liabilities,Current liabilities,Accrual (C) - Leave Payment,0,0,0,,6823856.88,-6823856.88,-100.00%
Total Liabilities,Current liabilities,Accrual (C) - LG Commission,29023343.59,29023343.59,0,0%,,29023343.59,
Total Liabilities,Current liabilities,Accrual (C) - Social Insurance,25969804.69,25969804.69,0,0%,6593097.01,19376707.68,293.90%
Total Liabilities,Current liabilities,Other,78880029.79,78880029.79,0,0%,17467429.7,61412600.09,351.60%
Total Liabilities,Current liabilities,WHT payable,0,0,0,,1386586.21,-1386586.21,-100.00%
Total Liabilities,Non current liabilities,Actuarial Adjustment EOS,5221991.55,5221991.55,0,0%,,5221991.55,
Total Liabilities,Non current liabilities,Deferred finance cost - SUKUK,3423743.37,3423743.37,0,0%,2150982.53,1272760.84,59.20%
Total Liabilities,Non current liabilities,Deferred finance cost - SUKUK - 2,3177625.76,3177625.76,0,0%,1875432.31,1302193.45,69.40%
Total Liabilities,Non current liabilities,Discount on Other Payables (NC),56928600.24,56928600.24,0,0%,37858986.71,19069613.52,50.40%
Total Liabilities,Non current liabilities,ENBD,0,0,0,,911427.46,-911427.46,-100.00%
Total Liabilities,Non current liabilities,FV of interest rate swaps [IRS] (Liability - NC),5958471.72,5958471.72,0,0%,1648697.26,4309774.46,261.40%
Total Liabilities,Non current liabilities,NATIXIS,10858520.8,10858520.8,0,0%,7295568.65,3562952.15,48.80%
Total Liabilities,Non current liabilities,Other,4339573.45,4339573.45,0,0%,6725267.94,-2385694.49,-35.50%
Total Liabilities,Non current liabilities,SNB,0,0,0,,1097833.66,-1097833.66,-100.00%
