MAIN_CATEGORY,SUB_CATEGORY,Ground Level Name,Actual,PM Actual,PM Variance,PM Variance%,PY Actual,PY Variance,PY Variance%
Total Assets,Non current assets,Prepaid (NC) - Rental,0,0,0,,0,0,
Total Assets,Non current assets,Professional Service,9145000.66,9145000.66,0,0%,8955721.07,189279.6,2.10%
Total Assets,Non current assets,Share holder loans (assumed equity),192413.51,192413.51,0,0%,192413.51,0,0.00%
Total Assets,Non current assets,Share of profit & reserves [Nominal],-0.09,0.01,-0.1,-1067%,0.01,-0.1,-1066.70%
Total Assets,Non current assets,Staff and staff related costs,2464644.69,2305913.6,158731.09,7%,996095.13,1468549.56,147.40%
Total Assets,Non current assets,Technical Building,12454184.04,9785436.59,2668747.46,27%,0,12454184.04,
Equity,Hedge reserves,Other,-7611677.15,-5912960.82,-1698716.34,-29%,-121658313.9,114046636.7,93.70%
Equity,Shareholders funds,Al Mutlaq Group Company,-62805819.87,-62805819.87,0,0%,-62805819.87,0,0.00%
Equity,Shareholders funds,Al Toukhi Commercial Group Co,-4660380.01,-4660380.01,0,0%,-4660380.01,0,0.00%
Equity,Shareholders funds,Arabian Co for Water & Power Development,-497666618.8,-497666618.8,0,0%,-497666618.8,0,0.00%
Equity,Shareholders funds,Badad International Company,-8854709.75,-8854709.75,0,0%,-8854709.75,0,0.00%
Equity,Shareholders funds,Future Industrial Investments Co,-8854709.75,-8854709.75,0,0%,-8854709.75,0,0.00%
Equity,Shareholders funds,Mada Industrial and Trading Invest,-245118665.5,-245118665.5,0,0%,-245118665.5,0,0.00%
Equity,Shareholders funds,Mohammad Abdullah Abu Nayan,-79747013.76,-79747013.76,0,0%,-79747013.76,0,0.00%
Equity,Shareholders funds,Other,-5009927464,-5037656625,27729161.73,1%,-4900460896,-109466567.2,-2.20%
Equity,Shareholders funds,PIF - Public Investment Fund,-1359063296,-1359063296,0,0%,-1359063296,0,0.00%
Equity,Shareholders funds,Share issue cost,8582384.27,8582384.27,0,0%,8582384.27,0,0.00%
Equity,System default accounts,Fixed Asset Default Account,0,0,0,,0,0,
Equity,System default accounts,Other,46.14,46.15,-0.01,0%,79120333.4,-79120287.26,-100.00%
Total Liabilities,Current liabilities,10%_VAT_LOCAL_OUTPUT,0,-28282.93,28282.93,100%,0,0,
Total Liabilities,Current liabilities,15%_VAT_LOCAL_OUTPT,-5212223.89,-4918712.67,-293511.22,-6%,-3083999.23,-2128224.65,-69.00%
Total Liabilities,Current liabilities,5%_VAT_LOCAL_OUTPT,-85504.62,-21218.05,-64286.57,-303%,-129121.91,43617.29,33.80%
Total Liabilities,Current liabilities,Accrual - AMEX Expesnes,-1415738.32,-1546569.01,130830.69,8%,-1802022.73,386284.42,21.40%
Total Liabilities,Current liabilities,Accrual - Nam Dhin,-560.72,-560.72,0,0%,-560.72,0,0.00%
Total Liabilities,Current liabilities,Accrual - Staff Medical Insurance,0,0.1,-0.1,-100%,-624034.61,624034.61,100.00%
Total Liabilities,Current liabilities,Accrual (C) -  Services Charges,-21228.41,-13622.13,-7606.29,-56%,-16105.41,-5123,-31.80%
Total Liabilities,Current liabilities,Accrual (C) - Adhoc consultancy,0,0,0,,-4617.31,4617.31,100.00%
Total Liabilities,Current liabilities,Accrual (C) - Annual report related consultancy,0,0,0,,0,0,
Total Liabilities,Current liabilities,Accrual (C) - Audit Fee,-2100701.71,-1943995.29,-156706.43,-8%,-938553.7,-1162148.01,-123.80%
Total Liabilities,Current liabilities,Accrual (C) - Board Executive Committee -BEC,-47127.47,-172800.72,125673.25,73%,-27802.72,-19324.75,-69.50%
Total Liabilities,Current liabilities,Accrual (C) - Bonus,-18451297.55,-16961914.92,-1489382.63,-9%,-21198822,2747524.45,13.00%
Total Liabilities,Current liabilities,Accrual (C)  CSR HIWPT,-765090.69,-765090.69,0,0%,-518254.55,-246836.14,-47.60%
Total Liabilities,Current liabilities,Accrual (C) - Employee Income Tax,0,0,0,,0,0,
Total Liabilities,Current liabilities,Accrual (C) - HR related consultancy,-38394.83,-66553.07,28158.24,42%,-69478.12,31083.29,44.70%
Total Liabilities,Current liabilities,Accrual (C) - IT related Consultancy,-191665.57,-192452.2,786.62,0%,-98335.41,-93330.16,-94.90%
Total Liabilities,Current liabilities,Accrual (C) - Leave Payment,-11306527.62,-10893046.45,-413481.17,-4%,-20642369.9,9335842.28,45.20%
Total Liabilities,Current liabilities,Accrual (C) - LG Commission,-288798.43,-288798.43,0,0%,-4933812.83,4645014.4,94.10%
Total Liabilities,Current liabilities,Accrual (C) - Other consultancy services,-45657.67,-44394.76,-1262.91,-3%,-15475.83,-30181.83,-195.00%
Total Liabilities,Current liabilities,Accrual (C) - Others,-963612.63,-1004888.37,41275.74,4%,-453193.27,-510419.36,-112.60%
Total Liabilities,Current liabilities,Accrual (C) - PR related consultancy,-6732.5,-6732.5,0,0%,-6732.5,0,0.00%
Total Liabilities,Current liabilities,Accrual (C) - Remuneration - Board Audit Committee,-45631.36,-130910.01,85278.65,65%,-26007.51,-19623.85,-75.50%
Total Liabilities,Current liabilities,Accrual (C) - Remuneration - Board of Directors,-157839.62,-460053.11,302213.5,66%,-102283.81,-55555.81,-54.30%
Total Liabilities,Current liabilities,Accrual (C) - Remuneration - Nomination and Remuneration Committee,-41143.03,-123429.08,82286.05,67%,-23189.71,-17953.32,-77.40%
Total Liabilities,Current liabilities,Accrual (C) - Remuneration - Risk Management & Oversight Committee,-41142.65,-123427.96,82285.31,67%,-20197.49,-20945.17,-103.70%
Total Liabilities,Current liabilities,Accrual (C) - Rent,-127945.87,-115151.28,-12794.59,-11%,0,-127945.87,
Total Liabilities,Current liabilities,Accrual (C) - Social Insurance,-118396.58,-154382.35,35985.77,23%,-637820.72,519424.14,81.40%
Total Liabilities,Current liabilities,Accrual (C) - Social security premium payable,0,0,0,,0,0,
Total Liabilities,Current liabilities,Accrual (C) - Tax consultancy,-663910.7,-761061.43,97150.73,13%,-449601.47,-214309.23,-47.70%
Total Liabilities,Current liabilities,Accrual (C) - Technical related consultancy,0,0,0,,-10323.16,10323.16,100.00%
Total Liabilities,Current liabilities,"Accrual for Gifts, Donations",-47400.13,-47400.13,0,0%,-47400.13,0,0.00%
Total Liabilities,Current liabilities,Accrual for IPO cost,-271695.72,-271695.72,0,0%,-271680.2,-15.52,0.00%
Total Liabilities,Current liabilities,Accrual for PDC,-1597703.37,-1696772.73,99069.36,6%,-864850.72,-732852.65,-84.70%
Total Liabilities,Current liabilities,Accrual Interest - CCB -China Construction Bank.,0,0,0,,0,0,
Total Liabilities,Current liabilities,Accrual of Digitalization costs,-2425109.07,-2038988.53,-386120.54,-19%,-2814050.57,388941.5,13.80%
Total Liabilities,Current liabilities,Accrual -Unwinding of Discount on Mezziane,-325867.74,-243891.98,-81975.76,-34%,-4027449.24,3701581.5,91.90%
Total Liabilities,Current liabilities,"Accruals ,,",-20373.73,-20373.73,0,0%,-223323.32,202949.6,90.90%
Total Liabilities,Current liabilities,Accrued expenses - Other Staff related,-6575.13,-6575.13,0,0%,-6677.79,102.66,1.50%
Total Liabilities,Current liabilities,Accrued expenses - Others,-1081944.31,-1081849.52,-94.79,0%,-311974.87,-769969.45,-246.80%
Total Liabilities,Current liabilities,Accrued Software license fee,-1242113.01,-826681.05,-415431.96,-50%,-112839.84,-1129273.17,-1000.80%
Total Liabilities,Current liabilities,Chint Solar (Hong Kong),-3131315,-3131315,0,0%,-3131315,0,0.00%
Total Liabilities,Current liabilities,CSR Provision - Non sharia compliant interest,-138581.75,-138581.75,0,0%,-684639.91,546058.16,79.80%
Total Liabilities,Current liabilities,FV of interest rate swaps [IRS] (Liability - C),-98124606.62,-98124606.62,0,0%,0,-98124606.62,
Total Liabilities,Current liabilities,GOSI Payables,0,0,0,,0,0,
Total Liabilities,Current liabilities,Interest accrual – STPC Bond,-705114.29,-564091.43,-141022.86,-25%,-725619.76,20505.48,2.80%
Total Liabilities,Current liabilities,Interest accrual - SUKUK,-22402046.14,-17332970.01,-5069076.13,-29%,-22123505.81,-278540.33,-1.30%
Total Liabilities,Current liabilities,Interest accrual - SUKUK 2,215430.28,-6570623.58,6786053.86,103%,-9536493.72,9751924,102.30%
Total Liabilities,Current liabilities,Interest payable – EBL,-19.36,-19.36,0,0%,-627129.23,627109.87,100.00%
Total Liabilities,Current liabilities,Interest payable - ENBD,-163795.42,-429029.86,265234.44,62%,0,-163795.42,
Total Liabilities,Current liabilities,Interest payable - NATIXIS,13331.03,-253151.93,266482.96,105%,0,13331.03,
Total Liabilities,Current liabilities,Interest payable - SNB,-83519.4,-0.16,-83519.24,-53677175%,0,-83519.4,
Total Liabilities,Current liabilities,Legal fees,-36909.19,-54328.76,17419.56,32%,-69912.72,33003.53,47.20%
Total Liabilities,Current liabilities,Legal related Consultancy,-66047.37,-66245.31,197.94,0%,-20581.83,-45465.54,-220.90%
Total Liabilities,Current liabilities,Long Term Loan (C) - Corporate Revolver Facility API,0,-0.12,0.12,100%,-0.12,0.12,100.00%
Total Liabilities,Current liabilities,Long term loans (Capital outstanding) (C) - STPC Refinancing,-1372799.95,-1372799.95,0,0%,-1330086.42,-42713.53,-3.20%
Total Liabilities,Current liabilities,LTL  (C)- Commercial Facility,0,-0.12,0.12,100%,-0.12,0.12,100.00%
Total Liabilities,Current liabilities,Other,-259040535.8,-244158094,-14882441.85,-6%,-378964777.6,119924241.8,31.60%
Total Liabilities,Current liabilities,Other Payable-Employees,-30732.9,-30732.9,0,0%,-23087.93,-7644.97,-33.10%
Total Liabilities,Current liabilities,PO Accrual,-2024007.25,-3037050.63,1013043.38,33%,-1141511.82,-882495.43,-77.30%
Total Liabilities,Current liabilities,Provision for EDFT Claim,0,0,0,,-2393776.18,2393776.18,100.00%
Total Liabilities,Current liabilities,SAGIA Licence fee,-26331.54,-23339.32,-2992.22,-13%,-64462.83,38131.29,59.20%
Total Liabilities,Current liabilities,Staff IPO Grant Liability,-427704.47,-427704.47,0,0%,-695022.61,267318.14,38.50%
Total Liabilities,Current liabilities,VAT OFFSET 10%,-151.22,-0.01,-151.21,-1010660%,-2896.38,2745.16,94.80%
Total Liabilities,Current liabilities,VAT OFFSET 15%,-13610313.01,-10563046.31,-3047266.7,-29%,-319.79,-13609993.22,-4255868.80%
Total Liabilities,Current liabilities,VAT OFFSET 5%,-581494.88,-589001.78,7506.91,1%,-119938.87,-461556.01,-384.80%
Total Liabilities,Current liabilities,WHT Clearing Account,55156.78,40132.89,15023.89,37%,81189.87,-26033.09,-32.10%
Total Liabilities,Current liabilities,WHT payable,-95511.89,-84857.87,-10654.02,-13%,-3481581.53,3386069.64,97.30%
Total Liabilities,Non current liabilities,Actuarial Adjustment EOS,-1068252.3,-1068252.3,0,0%,1474267.89,-2542520.19,-172.50%
Total Liabilities,Non current liabilities,Deferred finance cost - SUKUK,1794748.02,1836865.5,-42117.48,-2%,2277510.92,-482762.91,-21.20%
Total Liabilities,Non current liabilities,Deferred finance cost - SUKUK - 2,1641003.29,1667526.28,-26522.99,-2%,1954145.71,-313142.42,-16.00%
Total Liabilities,Non current liabilities,Discount on Other Payables (NC),30172424.96,31026487.37,-854062.42,-3%,40348484.76,-10176059.81,-25.20%
Total Liabilities,Non current liabilities,ENBD,-134048516.3,-134026286.4,-22229.94,0%,0,-134048516.3,
Total Liabilities,Non current liabilities,FV of interest rate swaps [IRS] - ABSA Bank Limited,0,0,0,,0,0,
Total Liabilities,Non current liabilities,FV of interest rate swaps [IRS] (Liability - NC),-7229073.31,-8832512.49,1603439.18,18%,6093382.48,-13322455.79,-218.60%
Total Liabilities,Non current liabilities,FV of purchased call option (Liability - NC),-825852.78,-825852.78,0,0%,-825852.78,0,0.00%
Total Liabilities,Non current liabilities,Hassyan Coal Derivative liability,0,0,0,,0,0,
Total Liabilities,Non current liabilities,LTL  (NC) -  Commercial Facility -Long term,-67125549.89,-67125550.18,0.29,0%,-320226627.4,253101077.6,79.00%
Total Liabilities,Non current liabilities,LTL  (NC) - CCB -China Construction Bank.,0,0,0,,0,0,
Total Liabilities,Non current liabilities,LTL  (NC) - CRF 1 - Fransi,0,0,0,,0,0,
Total Liabilities,Non current liabilities,LTL (NC) - Islamic finance facility,-53859964.09,-53859964.09,0,0%,-53859964.09,0,0.00%
Total Liabilities,Non current liabilities,NATIXIS,-41471087.67,-41301423.28,-169664.39,0%,0,-41471087.67,
Total Liabilities,Non current liabilities,Other,-4476634303,-4406098092,-70536211.69,-2%,-4092120744,-384513559,-9.40%
Total Liabilities,Non current liabilities,Office Rent,0,0,0,,0,0,
Total Liabilities,Non current liabilities,Payable for shares assigned,-522030.22,-522030.22,0,0%,0,-522030.22,
Total Liabilities,Non current liabilities,Secondment,282027.45,282027.45,0,0%,0,282027.45,
Total Liabilities,Non current liabilities,SNB,-223621496.3,-223587361.1,-34135.22,0%,0,-223621496.3,
Total Liabilities,Non current liabilities,STPC Refinancing,-44364341.66,-44364341.66,0,0%,-45737141.61,1372799.95,3.00%
Total Liabilities,Non current liabilities,Sukuk - 2028,-837821663.7,-837821663.7,0,0%,-837821663.7,0,0.00%
Total Liabilities,Non current liabilities,SUKUK 2,-538599640.9,-538599640.9,0,0%,-538599640.9,0,0.00%
